X'00e102243e6f6e5dc0a80132'
X'02d766c03c9b835cc0a80118'
X'14e44f003db797b1c0a80134'
X'1bd6705c3d19ecbdc0a801e2'
X'1dc348513c98cfc5c0a80118'
X'2a3d40743b9d0927c0a80119'
X'3e9c433a3ea4261dc0a80134'
X'3f5d1d8439d4a479c0a80119'
X'4cdc0b343d33a9eac0a80119'
X'57fc0f2e3a4e172ec0a80119'
X'62602ff93e7af24ec0a80132'
X'7e7b3db03c151836c0a80118'
X'897446e039edf15dc0a80119'
X'93b872f93d46110dc0a80119'
X'a52118b63a240cefc0a80119'
X'b39371843a8edfc0c0a801e0'
X'f2b513a43a8c4646c0a801e0'
X'f7af02593a3f790ac0a801e1'
