X'0504699f3ca2bc77c0a80119'
X'0c270d533d602ae5c0a801e2'
X'128e4a0b40b8013bc0a80133'
X'30140c0c41f3e50dc0a80132'
X'5e600a663fc284ccc0a80134'
X'a07062513d960d45c0a80133'
X'ccad4b2f3c6b3859c0a80119'
X'd630067e3c65ad17c0a80119'
X'dc9167ef3cb2519ac0a801e0'
X'e730143539ddc36fc0a80119'
X'f88b02593a956c71c0a801e1'
X'f97d63e7410adaccc0a80132'
